Reporting Period	ID RSSD	UBPR3210	UBPR4340	UBPR7316	UBPR7402	UBPR7408	UBPR7414	UBPRD486	UBPRD488	UBPRD659	UBPRE001	UBPRE002	UBPRE003	UBPRE004	UBPRE005	UBPRE006	UBPRE007	UBPRE008	UBPRE009	UBPRE010	UBPRE011	UBPRE012	UBPRE013	UBPRE014	UBPRE015	UBPRE016	UBPRE017	UBPRE018	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE024	UBPRE025	UBPRE026	UBPRE027	UBPRE028	UBPRE029	UBPRE541	UBPRE542	UBPRJ248	UBPRJA35	UBPRK447	UBPRKW07	
		TOTAL EQUITY CAPITAL	NET INCOME	SURVEILLANCE MODEL ASSET GROWTH RATE	TOTAL DIVIDENDS AS PERCENT OF NET IN	ANNUAL CHANGE IN TIER 1 CAPITAL	NONCURRENT ASSETS AS PERCENT OF TOTL	RBC_T1_TOT_AA	RBC_TOT_RWA	ASET_QAVG_CYA	INC_AA	INT_EXP_AA	INT_INC_NET_AA	INC_NONINT_AA	OVHD_EXP_AA	PROV_LNLS_ATTR_AA	INC_PTAX_OP_AA	SEC_GN_AA	INC_PTAX_NET_OP_AA	INC_NET_OP_AA	INC_BEI_AA	INC_NET_SUBS_AA	INC_NET_AA	EA_AVG_AA	LIAB_IB_AA	INT_INC_EA	INT_EXP_EA	INT_INC_NET_EA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_ASET_TOT	NI_DIVD_ECAP_CYB	LNLS_NINV_ORE_CAP	LNLS_NET_GY	INV_TEMP_GY	NCORE_FND_LT1_GY	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	INCNET_NONCON_AA	Unrealized holding gains (losses) on	NCORE DPDNCY INS LIMIT TIME DEP	Provision for credit losses on all o	
6/30/2021 11:59:59 PM	884648	24129	1752	12.02	74.2	0.61	0.39	8.2385	14.0917	252087	3.64	0.24	3.4	0.46	2.15	0.24	1.48	0	1.48	1.39	0.93	1.17	1.39	95.01	73.34	3.83	0.26	3.58	1.05	2.42	1.15	1.22	1.22	65.79	3.76	16.06	-14.67	163.64	-67.81	0	0.39	0	0	-11.85		
6/30/2021 11:59:59 PM	884657	5177	281	14.72	37.37	3.69	0.52	7.1691	13.9301	69801	4.47	0.74	3.72	0.22	2.99	0.13	0.82	0	0.82	0.81	1.16	0.65	0.81	96.9	69.69	4.61	0.77	3.84	-0.36			2.02	2.02	59.29	6.87	23.36	-1.94	33.2	53.33	0.39	0.13	0	0	-16.29		
6/30/2021 11:59:59 PM	885225	85935	2699	10.69	38.9	7.28	0.92	7.9079	12.8312	977819	3.32	0.43	2.89	0.44	2.27	0.31	0.75	0	0.74	0.55	0.77	0.55	0.55	86.31	58.28	3.85	0.5	3.35	0.13	12.1	15.13	1.87	1.87	65.25	3.88	12.61	4.43	33.79	-34.51	0	0.92	0	-0.01	-21.64		
6/30/2021 11:59:59 PM	885252	20011	1729	5.79	59.86	6.35	0.01	9.1599	14.4626	215618	3.49	0.26	3.24	0.21	1.79	0.06	1.6	0	1.6	1.6	1.66	1.27	1.6	94.74	68.77	3.69	0.27	3.41	0			0.64	0.64	62.65	7.04	0	0.85	3.15	16.37	0.01	0	0	0	-23.23		
6/30/2021 11:59:59 PM	885430	27022	-611	1.87	0	-0.27	1.52	7.4467	29.7555	358639	1.12	0.14	0.98	0.25	1.57	0	-0.34	0	-0.34	-0.34	-0.18	-0.34	-0.34	100.45	86.01	1.12	0.14	0.98	-0.88			7.83	7.83	15.41	-4.39	17.95	-15.9	-46.62	2.12	0.66	0.86	0	0	-17.98		
6/30/2021 11:59:59 PM	885579	5604	391	-16.89	0	15.73	3.19	8.4631	17.0608	84648	5.17	1.08	4.09	0.54	3.28	0.07	1.29	0	1.29	0.92	0.99	0.92	0.92	100.17	90.07	5.17	1.08	4.09	0			1.93	1.93	85.06	14.51	13.09	-19.13	-11.91	159.8	3.19	0	0	0	32.52		
6/30/2021 11:59:59 PM	885869	107032	7406	21.23	26.63	23.77	0.36	10.6497	16.3885	971728	3.7	0.24	3.45	1.64	3.09	0	2	0	2	1.52	1.51	1.52	1.52	107.94	70.66	3.42	0.23	3.2	0.02	136.44	115.12	2.41	2.41	54.55	10.97	4.1	6.22	-0.58	-1.57	0.1	0.26	0	0	-10.98		
6/30/2021 11:59:59 PM	886204	130320	1667	6.8	0	1.68	0.16	9.6824	26.239	1412981	2.13	0.21	1.92	0.27	1.9	0	0.3	0	0.3	0.24	0.24	0.24	0.24	93.91	81.58	2.27	0.22	2.05	0			0.71	0.71	40.11	2.56	2.48	-8.78	-34.81	-22.03	0.09	0.07	0	0	-2.16		
6/30/2021 11:59:59 PM	886624	96845	6202	13.33	20.15	13.7	0.54	11.4454		813150	3.89	0.36	3.53	1.16	2.69	0.03	1.97	0.01	1.98	1.53	1.57	1.53	1.53	96.16	84.15	4.04	0.38	3.67	-0.02			1.76	1.74	65.39	10.51	4.8	6.19	-24.3	3.66	0.02	0.52	0	0	0.9		
6/30/2021 11:59:59 PM	887340	144553	7725	8.82	16.89	15.39	0.46	9.8579	15.4565	1360257	3.64	0.47	3.17	2.68	4.14	0.13	1.58	0	1.58	1.14	1.18	1.14	1.14	94.63	75.4	3.85	0.5	3.35	0.11	20.07	13.89	1.6	1.56	73.07	9.07	3.87	-3.49	308.7	-17.51	0.14	0.32	0	0	-6.04		
6/30/2021 11:59:59 PM	887827	14473	663	10.36	136.95	2.94	0.14	14.7422		97001	3.62	0.53	3.09	0.08	1.7	0.07	1.39	0	1.39	1.37	1.44	1.1	1.37	92.96	72.69	3.9	0.57	3.32	0	698	337	0.98	0.98	70.06	-3.35	0	7.87	-4.05	-43.59	0.14	0	0	0	-0.79		
6/30/2021 11:59:59 PM	887854	5522	485	13.54	0	9.6	1.36	8.4533	16.4759	63253	4.2	0.14	4.06	0.46	2.93	0.03	1.56	0	1.56	1.53	1.57	1.23	1.53	97.22	56.53	4.32	0.14	4.18	-0.02			1.16	1.16	50.74	18.04	0.97	14.1	-28.39	-28.85	1.19	0.18	0	0	-18.5		
6/30/2021 11:59:59 PM	888002	684961	11286	4.95	3.54	3.74	1.44	11.8478	17.9193	5854338	2.37	0.25	2.12	0.27	1.84	0.09	0.47	0.01	0.48	0.39	0.49	0.39	0.39	95.66	84.13	2.47	0.26	2.21	-0.03			1.26	1.26	53.4	3.2	6.44	-6.8	-25.27	-16.03	0	1.44	0	0.01	-2.83		
6/30/2021 11:59:59 PM	888141	18984	830	10.8	0	5.81	1.25	8.121	17.3813	240285	2.89	0.18	2.71	1.32	3.13	0	0.9	0	0.9	0.69	0.61	0.69	0.69	93.4	79.4	3.1	0.19	2.91	0.15	10.81	9.37	1.49	1.49	48.88	8.81	11.61	-14.9	22.89	-67.11	0.03	1.22	0	0	-10.24		
6/30/2021 11:59:59 PM	888271	75481	1706	11.19	0	5.3	0.28	17.2038	32.2277	428774	3.37	0.39	2.98	0.39	2.28	0	1.08	0	1.08	0.8	0.79	0.8	0.8	98.38	75.62	3.42	0.4	3.03	0.01	121.26	64.74	0.71	0.71	77.52	4.57	3.05	10.93	-8.85	-28.84	0	0.28	0	0	-10.05		
6/30/2021 11:59:59 PM	888552	56321	6502	11.31	61.46	13.81	0.07	8.6321		636704	4.61	0.11	4.5	0.58	2.84	0.16	2.08	0.01	2.09	2.04	2.16	1.65	2.04	93.24	85.61	4.94	0.12	4.82	0.05	59.69	26.06	1.28	1.28	72.15	9.01	1.21	8.6	-94.08	61.05	0	0.06	0	0	2.48		
6/30/2021 11:59:59 PM	888833	54734	78	8.93	5256.41	-0.2	0.46	9.8399		567290	2.69	0.13	2.56	0.62	3.11	0.03	0.03	0	0.03	0.03	0.05	0.03	0.03	86.52	68.09	3.1	0.15	2.96	0.02	8.68	78.53	1.21	1.21	41.93	-14.4	3.14	-1.42	20.46	-18.17	0.02	0.44	0	0	-35.33		
6/30/2021 11:59:59 PM	890050	76310	3310	0.75	51.36	5.43	1.83	11.6953	39.6403	624660	2.55	0.26	2.29	0.69	1.68	-0.13	1.43	-0.28	1.15	1.06	0.94	0.91	1.06	99.77	84.29	2.55	0.26	2.29	-0.03			2.16	2.12	21.76	4.19	5.69	-22.3	15.71	-49.98	0	1.82	0	0	-6.26		
6/30/2021 11:59:59 PM	890078	10072	318	6.97	0	4.93	0.36	12.0383		80427	3.65	0.37	3.28	0.22	2.47	0	1.03	0	1.03	0.79	0.77	0.79	0.79	96.78	61.12	3.78	0.38	3.39	0.03	49.5	46.06	1.46	1.46	61.49	6.43	2.53	-5.4	121.63	28.57	0	0.36	0	0	-26.87		
6/30/2021 11:59:59 PM	890649	20770	1219	13	12.31	8.15	0	12.589		161790	3.74	0.34	3.41	0.65	2.05	0	2.01	0	2.01	1.51	1.51	1.51	1.51	98.12	71.89	3.81	0.34	3.47	0			1.1	1.1	58.4	10.48	0	3.91	-45.24	-40	0	0	0	0	-1.31		
6/30/2021 11:59:59 PM	890742	186730	8840	15.83	53.17	4.78	0.27	9.9812		1625374	2.91	0.46	2.45	0.32	1.38	0.02	1.37	0.1	1.47	1.09	1.13	1.09	1.09	97.79	86.11	2.98	0.48	2.5	-0.04			1.51	1.51	40.11	4.44	3.17	-1.43	-34.29	59.79	0.06	0.2	0	0	18.88		
6/30/2021 11:59:59 PM	890957	6344	164	16.61	95.73	4.39	0.16	7.1721	10.6235	86308	2.24	0.34	1.9	0.08	1.49	0	0.49	0	0.49	0.38	0.38	0.38	0.38	89.33	71.49	2.51	0.38	2.12	0			0.98	0.98	35.73	0.22	0	-6.54	33.61	-8.03	0.16	0	0	0	-70.76		
6/30/2021 11:59:59 PM	891226	69757	3647	40.23	25.77	26.88	0.84	9.0038	12.58	691804	3.68	0.34	3.34	0.32	2.2	0.03	1.43	0	1.43	1.05	1.09	1.05	1.05	93.69	72.62	3.92	0.36	3.56	0			0.65	0.65	73.27	7.87	11.06	34.64	6.49	16.08	0	0.84	0	0	6.81		
6/30/2021 11:59:59 PM	891253	14167	66	0.88	106.06	1.38	0	11.3982	27.8897	122241	1.15	0.11	1.05	0.11	1.06	0	0.1	0.04	0.14	0.11	0.11	0.11	0.11	90.38	56.67	1.28	0.12	1.16	0			4.83	4.83	3.92	-0.06	0	-14.65	-12.07	168.17	0	0	0	0	-73.58		
6/30/2021 11:59:59 PM	892205	214490	12398	1.05	80.71	2.71	0.32	8.696	13.5643	2432605	3.28	0.3	2.98	0.46	2.13	-0.09	1.4	-0.01	1.39	1.02	0.91	1.02	1.02	93.91	84.91	3.49	0.32	3.17	0.02	96.38	61.33	1.06	1.06	75.57	2.25	4.4	-6.27	64.38	-68.5	0	0.32	0	-0.01	1.4		
6/30/2021 11:59:59 PM	892223	18130	665	16.51	21.8	5.11	1.09	10.9811		149697	3.38	0.14	3.24	0.59	2.67	0.07	1.09	0	1.09	0.89	0.96	0.89	0.89	93.49	64.26	3.62	0.15	3.47	0			1.28	1.26	55.92	5.8	4.87	12.32	184.1	17.62	0	1.09	0	0	-8.61		
6/30/2021 11:59:59 PM	893248	38746	1326	7.32	45.25	2.92	2.46	10.1333	20.7457	373409	2.72	0.26	2.46	0.93	2.17	0.28	0.94	0	0.94	0.71	0.94	0.71	0.71	94.42	79.92	2.88	0.28	2.6	0.09	21.61	22.69	2.2	2.2	56.87	3.79	18.61	-15.42	-2.99	-27.34	0	2.46	0	0	-18.73		
6/30/2021 11:59:59 PM	893640	33699	1271	-8.27	0	8.17	0.02	13.5079	19.0751	240324	3.91	0.59	3.32	0.41	2.45	0	1.28	0.1	1.38	1.06	1.06	1.06	1.06	95.6	69.05	4.09	0.61	3.48	0			1.6	1.59	82.39	7.66	0.09	-4.11	-21.86	-43.94	0	0.02	0	0	10.04		
6/30/2021 11:59:59 PM	893855	53612	4149	58.68	0	57.04	0.61	7.889	22.7684	632403	9.24	0.14	9.1	6.08	13.5	0.1	1.59	0	1.73	1.31	1.39	1.31	1.31	92.76	60.93	9.96	0.15	9.81	0.02	125.33	32.79	0.53	0.53	78.66	17.56	6.45	58.01	55.82	92.86	0.29	0.32	0	0.14	41.17		
